City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Elizabeth,ZA,2022-07-05 16:59:23,-33.918,25.5701,61.32,88,20,10.36
68,Marawi,PH,2022-07-05 16:59:23,7.9986,124.2928,69.28,95,100,3.02
69,Jaru,BR,2022-07-05 16:59:23,-10.4389,-62.4664,92.32,34,53,5.17
70,Yellowknife,CA,2022-07-05 16:54:57,62.456,-114.3525,68.56,45,25,4.0
71,Baruun-Urt,MN,2022-07-05 16:59:25,46.6806,113.2792,60.48,79,93,8.48
72,Albany,US,2022-07-05 16:57:14,42.6001,-73.9662,76.95,69,100,5.06
73,Gorontalo,ID,2022-07-05 16:59:26,0.5412,123.0595,74.1,92,100,1.83
74,Zhezkazgan,KZ,2022-07-05 16:59:26,47.8043,67.7144,67.1,45,79,5.21
75,Deputatskiy,RU,2022-07-05 16:59:26,69.3,139.9,38.79,75,89,5.3
76,Sur,OM,2022-07-05 16:59:27,22.5667,59.5289,86.27,74,100,11.88
77,Marystown,CA,2022-07-05 16:59:27,47.1666,-55.1483,65.86,100,15,3.0
78,Avarua,CK,2022-07-05 16:59:28,-21.2078,-159.775,73.45,64,40,9.22
79,Lorengau,PG,2022-07-05 16:59:28,-2.0226,147.2712,80.92,78,99,3.91
80,Yar-Sale,RU,2022-07-05 16:59:29,66.8333,70.8333,54.21,96,100,3.78
81,Dunedin,NZ,2022-07-05 16:59:29,-45.8742,170.5036,45.81,57,16,17.0
82,Bilozerka,UA,2022-07-05 16:59:29,46.6248,32.4425,80.83,43,38,10.63
83,Mount Gambier,AU,2022-07-05 16:59:30,-37.8333,140.7667,39.11,93,100,6.91
84,Shingu,JP,2022-07-05 16:59:12,33.7333,135.9833,76.26,95,95,4.34
85,Butaritari,KI,2022-07-05 16:59:31,3.0707,172.7902,82.65,76,85,22.35
86,Faanui,PF,2022-07-05 16:59:31,-16.4833,-151.75,79.39,75,24,17.6
87,Saskylakh,RU,2022-07-05 16:59:32,71.9167,114.0833,47.77,95,100,4.0
88,Honiara,SB,2022-07-05 16:59:32,-9.4333,159.95,77.25,88,95,9.28
89,Salalah,OM,2022-07-05 16:59:34,17.0151,54.0924,79.7,90,100,8.43
90,Gimli,CA,2022-07-05 16:57:22,50.6336,-96.9907,64.8,74,73,8.43
91,Nong Chik,TH,2022-07-05 16:59:34,6.8436,101.178,78.64,79,83,6.44
92,Teya,RU,2022-07-05 16:59:35,60.3778,92.6267,57.42,75,89,2.95
93,Ribeira Grande,PT,2022-07-05 16:59:36,38.5167,-28.7,72.0,64,40,11.5
94,Thompson,CA,2022-07-05 16:59:36,55.7435,-97.8558,66.36,42,40,5.75
95,Fertod,HU,2022-07-05 16:59:37,47.6195,16.8868,74.12,78,100,14.29
96,Hailey,US,2022-07-05 16:59:37,43.5196,-114.3153,74.98,37,87,3.44
97,Boden,SE,2022-07-05 16:59:38,65.8252,21.6886,64.4,82,31,10.07
98,Abha,SA,2022-07-05 16:59:38,18.2164,42.5053,73.65,38,75,11.5
