City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Olpad,21.3333,72.75,80.47,89,100,6.67,IN,overcast clouds
80,Ponta Delgada,37.7333,-25.6667,68.5,72,66,7.2,PT,broken clouds
81,Parasia,22.2,78.7667,76.53,84,100,4.92,IN,overcast clouds
82,Lugovoy,42.9472,72.7644,76.06,36,19,6.02,KZ,few clouds
83,Matai,-8.3,31.5167,48.69,76,5,5.12,TZ,clear sky
84,Olafsvik,64.8945,-23.7142,52.45,95,100,26.15,IS,overcast clouds
85,Namibe,-15.1961,12.1522,65.21,83,0,5.68,AO,clear sky
86,Tuktoyaktuk,69.4541,-133.0374,66.2,68,20,8.05,CA,few clouds
87,Westerland,54.9079,8.3033,60.82,94,100,14.97,DE,overcast clouds
88,Fomboni,-12.28,43.7425,76.39,67,0,13.04,KM,clear sky
89,Ponta Do Sol,32.6667,-17.1,69.01,75,0,3.62,PT,clear sky
90,Korla,41.7597,86.1469,83.14,15,6,17.18,CN,clear sky
91,Mar Del Plata,-38.0023,-57.5575,50.09,94,100,3.44,AR,overcast clouds
92,Bengkulu,-3.8004,102.2655,82.09,73,32,4.94,ID,scattered clouds
93,Port Alfred,-33.5906,26.891,59.67,72,0,8.55,ZA,clear sky
94,Nikolskoye,59.7035,30.7861,60.8,93,100,2.8,RU,overcast clouds
95,Quesnel,52.9999,-122.5029,72.1,49,0,12.66,CA,clear sky
96,Maniitsoq,65.4167,-52.9,40.86,96,100,1.92,GL,overcast clouds
97,Uvinza,-5.1036,30.3911,61.81,57,8,1.86,TZ,clear sky
98,Colwyn Bay,53.2948,-3.7267,58.86,3,98,7.0,GB,overcast clouds
99,Tual,-5.6667,132.75,78.44,80,100,17.56,ID,overcast clouds
100,Honiara,-9.4333,159.95,86.72,64,95,9.66,SB,overcast clouds
101,Tasiilaq,65.6145,-37.6368,37.56,81,100,5.7,GL,overcast clouds
102,Yamada,39.4667,141.95,72.52,85,96,8.37,JP,overcast clouds
103,Hilo,19.7297,-155.09,85.28,54,20,5.75,US,few clouds
104,Carauari,-4.8828,-66.8958,73.11,94,78,1.39,BR,broken clouds
105,Kamen-Na-Obi,53.7884,81.3423,61.45,92,100,8.75,RU,overcast clouds
106,Hambantota,6.1241,81.1185,84.54,70,20,13.8,LK,few clouds
107,San Patricio,28.017,-97.5169,85.89,70,1,13.13,US,clear sky
108,Qasigiannguit,68.8193,-51.1922,41.25,91,100,3.04,GL,overcast clouds
109,Port Elizabeth,-33.918,25.5701,46.69,93,0,4.61,ZA,clear sky
110,Semirom,31.4167,51.5667,61.41,36,8,4.21,IR,clear sky
